filepath,theta_rad,sin,cos
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\044-KakaoTalk_20250827_195027544_05.png,5.80614564,-0.45915135,0.88835805
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\045-KakaoTalk_20250827_195027544_06.png,5.85077753,-0.41905818,0.90795938
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\046-KakaoTalk_20250827_202454020_14.png,3.33079168,-0.18807227,-0.98215519
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\047-KakaoTalk_20250827_195027544_08.png,5.73562307,-0.52060742,0.85379618
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\048-KakaoTalk_20250827_215217022_02.png,2.87733263,0.26119505,-0.96528604
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\049-KakaoTalk_20250827_195027544_09.png,5.60844436,-0.62469505,0.78086881
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\050-KakaoTalk_20250827_195027544_10.png,5.65365535,-0.58876489,0.80830434
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\051-KakaoTalk_20250827_195027544_11.png,5.49778714,-0.70710678,0.70710678
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\052-KakaoTalk_20250827_195027544_12.png,5.42438982,-0.75705615,0.65334982
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\053-KakaoTalk_20250827_215217022_03.png,2.51892186,0.58320678,-0.81232373
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\054-KakaoTalk_20250827_195027544_13.png,5.26542042,-0.85093611,0.52526920
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\055-KakaoTalk_20250827_195027544_14.png,5.24907715,-0.85940670,0.51129260
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\056-KakaoTalk_20250827_195027544_15.png,5.14558915,-0.90762704,0.41977751
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\057-KakaoTalk_20250827_195027544_16.png,5.12955846,-0.91423946,0.40517430
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\058-KakaoTalk_20250827_195027544_18.png,5.04410598,-0.94548457,0.32566691
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\059-KakaoTalk_20250827_215217022_05.png,2.13752554,0.84366149,-0.53687549
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\060-KakaoTalk_20250827_195027544_19.png,4.92421653,-0.97764831,0.21024695
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\061-KakaoTalk_20250827_195027544_20.png,4.87924414,-0.98611194,0.16608201
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\062-KakaoTalk_20250827_195027544_21.png,4.81726592,-0.99450545,0.10468478
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\063-KakaoTalk_20250827_195027544_23.png,4.72259271,-0.99994794,0.01020355
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\064-KakaoTalk_20250827_195312677_02.png,4.62172909,-0.99589321,-0.09053575
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\065-KakaoTalk_20250827_195027544_24.png,4.63960113,-0.99735213,-0.07272359
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\066-KakaoTalk_20250827_195312677_04.png,4.43408932,-0.96152395,-0.27472113
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\067-KakaoTalk_20250827_195027544_26.png,4.50056143,-0.97764831,-0.21024695
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\068-KakaoTalk_20250827_195027544_27.png,4.47518218,-0.97199814,-0.23498856
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\069-KakaoTalk_20250827_195027544_28.png,4.38727144,-0.94761319,-0.31942018
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\070-KakaoTalk_20250827_195105643_01.png,4.34613342,-0.93367485,-0.35812186
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\071-KakaoTalk_20250827_195312677_10.png,4.18431453,-0.86377890,-0.50387103
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\072-KakaoTalk_20250827_195105643.png,4.17595352,-0.85953589,-0.51107539
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\073-KakaoTalk_20250827_195105643_03.png,4.15378967,-0.84799830,-0.52999894
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\074-KakaoTalk_20250827_195105643_04.png,4.05225739,-0.78991154,-0.61322080
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\075-KakaoTalk_20250827_195105643_05.png,4.00950977,-0.76298418,-0.64641715
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\076-KakaoTalk_20250827_195105643_06.png,4.00038814,-0.75705615,-0.65334982
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\077-KakaoTalk_20250827_195105643_08.png,3.90477225,-0.69122265,-0.72264186
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\078-KakaoTalk_20250827_195105643_09.png,3.81468343,-0.62340564,-0.78189859
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\079-KakaoTalk_20250827_202501834_02.png,0.97987828,0.83042956,0.55712363
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\080-KakaoTalk_20250827_202501834.png,0.91892721,0.79495125,0.60667332
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\081-KakaoTalk_20250827_215217022_06.png,0.86718254,0.76250914,0.64697745
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\082-KakaoTalk_20250827_195352715_01.png,3.50279641,-0.35340057,-0.93547209
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\083-KakaoTalk_20250827_215217022_07.png,0.67811931,0.62732954,0.77875391
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\084-KakaoTalk_20250827_195352715.png,3.51783466,-0.36742795,-0.93005199
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\085-KakaoTalk_20250827_215217022_09.png,0.58511244,0.55229312,0.83364999
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\086-KakaoTalk_20250827_195352715_03.png,3.21147866,-0.06982913,-0.99755897
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\087-KakaoTalk_20250827_195352715_02.png,3.15457894,-0.01298592,-0.99991568
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\088-KakaoTalk_20250827_195352715_05.png,3.19588707,-0.05426774,-0.99852642
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\089-KakaoTalk_20250827_195138253.png,3.16264218,-0.02104797,-0.99977847
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\090-KakaoTalk_20250827_195352715_06.png,2.92976511,0.21024695,-0.97764831
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\091-KakaoTalk_20250827_195352715_10.png,2.88641026,0.25242190,-0.96761727
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\092-KakaoTalk_20250827_195138253_06.png,2.81091377,0.32468521,-0.94582214
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\093-KakaoTalk_20250827_195138253_07.png,2.69407268,0.43273107,-0.90152306
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\094-KakaoTalk_20250827_215217022_10.png,0.15188246,0.15129919,0.98848802
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\095-KakaoTalk_20250827_195138253_08.png,2.64604098,0.47551703,-0.87970651
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\096-KakaoTalk_20250827_195352715_16.png,2.69151887,0.43503197,-0.90041501
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\097-KakaoTalk_20250827_195138253_12.png,2.74135200,0.38963999,-0.92096725
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\098-KakaoTalk_20250827_195352715_17.png,2.51279637,0.58817170,-0.80873608
C:\Users\realo\new3\dealim250827\gage2-1\dataset_clean\train\099-KakaoTalk_20250827_195352715_24.png,2.43871344,0.64641715,-0.76298418
